number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy_on_test_data,Accuracy_on_training_data,Time
784,10,15,3.9,100,100,200,0.5561,0.552633333,14807.94431
784,10,15,3.9,200,100,200,0.6909,0.688933333,42542.72796
784,10,15,3.9,300,100,200,0.8281,0.819316667,106032.1993
784,10,15,3.9,400,100,200,0.8855,0.884133333,124927.5709
784,10,15,3.9,500,100,200,0.922,0.9208,116136.7724
784,10,15,3.9,100,100,200,0.5561,0.552633333,15087.45213
784,10,15,3.9,200,100,200,0.6909,0.688933333,56859.5756
784,10,15,3.9,300,100,200,0.8281,0.8193,62238.11
784,10,15,3.9,400,100,200,0.8855,0.884133333,142240.7475
784,10,15,3.9,500,100,200,0.922,0.9208,159702.8625
784,10,15,3.9,100,100,200,0.5561,0.552633333,15010.19
784,10,15,3.9,200,100,200,0.6909,0.688933333333333,65621.9217867
784,10,15,3.9,300,100,200,0.8281,0.819316666666667,84266.3718471
784,10,15,3.9,400,100,200,0.8855,0.884133333333333,144968.6694335
784,10,15,3.9,500,100,200,0.922,0.9208,163883.7815023
