number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy_on_test_data,Accuracy_on_training_data,Time
12,2,15,3.9,2,100,500,0.7462,0.55,212.9280099
12,2,15,3.9,4,100,500,0.8754,0.584,243.1291827
12,2,15,3.9,6,100,500,1,0.603,263.797812
12,2,15,3.9,8,100,500,1,0.603,284.0073343
12,2,15,3.9,10,100,500,1,0.603,288.9284004
12,2,15,3.9,12,100,500,1,0.603,301.5703017
12,2,15,3.9,14,100,500,1,0.603,313.3479395
12,2,15,3.9,16,100,500,1,0.603,322.4656636
12,2,15,3.9,18,100,500,1,0.603,332.0085063
12,2,15,3.9,20,100,500,1,0.603,341.313533
12,2,15,3.9,2,100,500,0.7462,0.55,120.59
12,2,15,3.9,4,100,500,0.8754,0.584,140.6823914
12,2,15,3.9,6,100,500,1,0.603,157.485995
12,2,15,3.9,8,100,500,1,0.603,170.969834
12,2,15,3.9,10,100,500,1,0.603,181.0716905
12,2,15,3.9,2,100,500,0.7462,0.55,117.5147701
12,2,15,3.9,4,100,500,0.8754,0.584,137.619148
12,2,15,3.9,6,100,500,1,0.603,156.1850411
12,2,15,3.9,8,100,500,1,0.603,172.174235
12,2,15,3.9,10,100,500,1,0.603,180.5348191
12,2,15,3.9,12,100,500,1,0.603,187.9385806
12,2,15,3.9,14,100,500,1,0.603,203.3536162
12,2,15,3.9,16,100,500,1,0.603,207.8304023
12,2,15,3.9,18,100,500,1,0.603,215.8913554
12,2,15,3.9,20,100,500,1,0.603,224.6598428
12,2,15,3.9,12,100,500,1,0.603,186.2888091
12,2,15,3.9,14,100,500,1,0.603,198.9310119
12,2,15,3.9,16,100,500,1,0.603,208.8891672
12,2,15,3.9,18,100,500,1,0.603,217.8506575
12,2,15,3.9,20,100,500,1,0.603,226.7566837
12,2,15,3.9,12,100,500,1,0.603,185.2532845
12,2,15,3.9,14,100,500,1,0.603,197.2127721
12,2,15,3.9,20,100,500,1,0.603,225.7571759
12,2,15,3.9,16,100,500,1,0.603,204.903603
12,2,15,3.9,18,100,500,1,0.603,213.7747532
