number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy_on_test_data,Accuracy_on_training_data,Time
2,2,15,3.9,2,100,200,0.7376,0.7536,59.9760757
2,2,15,3.9,4,100,200,1,1,66.6310597
2,2,15,3.9,6,100,200,0.7498,0.7434,70.0085017
2,2,15,3.9,8,100,200,1,1,79.4509872
2,2,15,3.9,10,100,200,1,1,83.200368
2,2,15,3.9,2,100,200,0.7376,0.7536,52.3275831
2,2,15,3.9,4,100,200,1,1,59.1315858
2,2,15,3.9,6,100,200,0.7498,0.7434,62.3935053
2,2,15,3.9,8,100,200,1,1,70.4768537
2,2,15,3.9,10,100,200,1,1,76.7611832
2,2,15,3.9,2,100,200,0.7376,0.7536,45.4127048
2,2,15,3.9,4,100,200,1,1,53.3095418
2,2,15,3.9,6,100,200,0.7498,0.7434,57.3086406
2,2,15,3.9,8,100,200,1,1,65.5579348
2,2,15,3.9,10,100,200,1,1,71.2585988
2,2,15,3.9,2,100,200,0.7376,0.7536,46.961811
2,2,15,3.9,4,100,200,1,1,54.6674665
2,2,15,3.9,6,100,200,0.7498,0.7434,56.3549614
2,2,15,3.9,8,100,200,1,1,64.069468
2,2,15,3.9,10,100,200,1,1,68.7681815
2,2,15,3.9,12,100,500,1,1,184.383866
2,2,15,3.9,14,100,500,0.7498,0.7434,186.9107247
2,2,15,3.9,16,100,500,1,1,204.9500348
2,2,15,3.9,18,100,500,1,1,210.219352
2,2,15,3.9,20,100,500,1,1,215.3596815
2,2,15,3.9,12,100,500,1,1,185.2427187
2,2,15,3.9,14,100,500,0.7498,0.7434,184.1959126
2,2,15,3.9,16,100,500,1,1,204.2728204
2,2,15,3.9,18,100,500,1,1,209.4201179
2,2,15,3.9,20,100,500,1,1,215.6830764
2,2,15,3.9,12,100,500,1,1,174.5658373
2,2,15,3.9,14,100,500,0.7498,0.7434,177.7693745
2,2,15,3.9,16,100,500,1,1,199.2687498
2,2,15,3.9,18,100,500,1,1,202.0815201
2,2,15,3.9,20,100,500,1,1,210.8648273
2,2,15,3.9,12,100,500,1,1,180.7210859
2,2,15,3.9,14,100,500,0.7498,0.7434,183.5554226
2,2,15,3.9,16,100,500,1,1,205.5402542
2,2,15,3.9,18,100,500,1,1,207.8167022
2,2,15,3.9,20,100,500,1,1,212.0403926
