epoch,accuracy
1,0.5286
2,0.5347999999999999
3,0.5686
4,0.5554
5,0.5554
6,0.567
7,0.5808
8,0.5554
9,0.5554
10,0.5554
11,0.5554
12,0.5554
13,0.5554
14,0.5554
15,0.5554
16,0.5554
17,0.5554
18,0.5554
19,0.5554
20,0.5554
21,0.5554
22,0.5554
23,0.5554
24,0.5554
25,0.5554
26,0.5554
27,0.5554
28,0.5554
29,0.5554
30,0.5554
31,0.5554
32,0.5554
33,0.5554
34,0.5554
35,0.5554
36,0.5554
37,0.5554
38,0.5554
39,0.5554
40,0.5554
41,0.5554
42,0.5554
43,0.5554
44,0.5554
45,0.5554
46,0.5554
47,0.5554
48,0.5364
49,0.5554
50,0.5554
51,0.5554
52,0.5554
53,0.5554
54,0.5554
55,0.5554
56,0.5554
57,0.5554
58,0.5554
59,0.5554
60,0.5554
61,0.5554
62,0.5554
63,0.5554
64,0.5554
65,0.5554
66,0.5554
67,0.5554
68,0.5554
69,0.5554
70,0.5554
71,0.5554
72,0.5554
73,0.5554
74,0.5554
75,0.5554
76,0.5554
77,0.5554
78,0.5554
79,0.5554
80,0.5554
81,0.5554
82,0.5554
83,0.5554
84,0.5554
85,0.5554
86,0.5554
87,0.5554
88,0.5554
89,0.5554
90,0.5554
91,0.5554
92,0.5554
93,0.5554
94,0.5554
95,0.5554
96,0.5554
97,0.5554
98,0.5362
99,0.5554
100,0.5554
101,0.5554
102,0.5554
103,0.5554
104,0.5554
105,0.5554
106,0.5554
107,0.5554
108,0.5554
109,0.5554
110,0.5554
111,0.5554
112,0.5554
113,0.5554
114,0.5554
115,0.5554
116,0.5554
117,0.5554
118,0.5554
119,0.5554
120,0.5554
121,0.5554
122,0.5554
123,0.5554
124,0.5554
125,0.5554
126,0.5554
127,0.5554
128,0.5554
129,0.5554
130,0.5554
131,0.5554
132,0.5554
133,0.5554
134,0.5554
135,0.5554
136,0.5554
137,0.5554
138,0.5554
139,0.5554
140,0.5554
141,0.5554
142,0.5554
143,0.5554
144,0.5554
145,0.5554
146,0.5554
147,0.5554
148,0.5554
149,0.5554
150,0.5554
151,0.5554
152,0.5554
153,0.5554
154,0.5554
155,0.5554
156,0.5554
157,0.5554
158,0.5554
159,0.5554
160,0.5554
161,0.5554
162,0.5554
163,0.5554
164,0.5554
165,0.5554
166,0.5554
167,0.5554
168,0.5554
169,0.5554
170,0.5554
171,0.5554
172,0.5554
173,0.5554
174,0.5554
175,0.5554
176,0.5554
177,0.5554
178,0.5554
179,0.5554
180,0.5554
181,0.5554
182,0.5554
183,0.5554
184,0.5554
185,0.5554
186,0.5554
187,0.5554
188,0.5554
189,0.5554
190,0.5554
191,0.5554
192,0.5554
193,0.5554
194,0.5554
195,0.5554
196,0.5486
197,0.5554
198,0.5554
199,0.5554
200,0.5554
