number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy on test data,Accuracy on training data,Time
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,2,100,200,0.7424,0.5554,1.0
12,2,15,3.9,4,100,200,1.0,0.603,1.0
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,20,100,200,1.0,0.603,3.0
12,2,15,3.9,40,100,200,0.9754,0.5992,6.0
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,10,100,200,1.0,0.603,2.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,2,100,200,0.7424,0.5554,2.0
12,2,15,3.9,4,100,200,0.7424,0.5554,2.0
12,2,15,3.9,6,100,200,1.0,0.603,2.0
12,2,15,3.9,8,100,200,1.0,0.603,3.0
12,2,15,3.9,10,100,200,1.0,0.603,3.0
12,2,15,3.9,12,100,200,1.0,0.603,4.0
12,2,15,3.9,14,100,200,1.0,0.603,4.0
12,2,15,3.9,16,100,200,1.0,0.603,4.0
12,2,15,3.9,18,100,200,1.0,0.603,5.0
12,2,15,3.9,20,100,200,1.0,0.603,5.0
