number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy on test data,Accuracy on training data,Time
12,2,15,3.9,2,100,500,0.7424,0.5554,151.0
12,2,15,3.9,4,100,500,1.0,0.603,229.0
12,2,15,3.9,6,100,500,1.0,0.603,304.0
12,2,15,3.9,8,100,500,1.0,0.603,355.0
12,2,15,3.9,10,100,500,1.0,0.603,405.0
12,2,15,3.9,12,100,500,1.0,0.603,453.0
12,2,15,3.9,14,100,500,1.0,0.603,500.0
12,2,15,3.9,16,100,500,1.0,0.603,555.0
12,2,15,3.9,18,100,500,1.0,0.603,600.0
12,2,15,3.9,20,100,500,1.0,0.603,649.0
12,2,15,3.9,2,100,500,0.7424,0.5554,81.0
12,2,15,3.9,4,100,500,0.7424,0.5554,129.0
12,2,15,3.9,6,100,500,1.0,0.603,176.0
12,2,15,3.9,8,100,500,1.0,0.603,219.0
12,2,15,3.9,10,100,500,1.0,0.603,263.0
12,2,15,3.9,2,100,500,0.7424,0.5554,81.0
12,2,15,3.9,4,100,500,1.0,0.603,128.0
12,2,15,3.9,6,100,500,1.0,0.603,172.0
12,2,15,3.9,8,100,500,1.0,0.603,220.0
12,2,15,3.9,10,100,500,1.0,0.603,265.0
12,2,15,3.9,12,100,500,1.0,0.603,317.0
12,2,15,3.9,14,100,500,1.0,0.603,364.0
12,2,15,3.9,16,100,500,1.0,0.603,412.0
12,2,15,3.9,18,100,500,1.0,0.603,465.0
12,2,15,3.9,20,100,500,1.0,0.603,511.0
12,2,15,3.9,12,100,500,1.0,0.603,316.0
12,2,15,3.9,14,100,500,1.0,0.603,365.0
12,2,15,3.9,16,100,500,1.0,0.603,412.0
12,2,15,3.9,18,100,500,1.0,0.603,465.0
12,2,15,3.9,20,100,500,1.0,0.603,514.0
12,2,15,3.9,12,100,500,1.0,0.603,325.0
12,2,15,3.9,14,100,500,1.0,0.603,382.0
12,2,15,3.9,16,100,500,1.0,0.603,428.0
12,2,15,3.9,18,100,500,1.0,0.603,474.0
12,2,15,3.9,20,100,500,1.0,0.603,528.0
