number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy on test data,Accuracy on training data,Time
2,2,15,3.9,2,100,200,0.7498,0.7434,19.0
2,2,15,3.9,4,100,200,1.0,1.0,28.0
2,2,15,3.9,6,100,200,1.0,1.0,36.0
2,2,15,3.9,8,100,200,1.0,1.0,44.0
2,2,15,3.9,10,100,200,1.0,1.0,52.0
2,2,15,3.9,2,100,200,0.7376,0.7536,19.0
2,2,15,3.9,4,100,200,0.7376,0.7536,28.0
2,2,15,3.9,6,100,200,1.0,1.0,35.0
2,2,15,3.9,8,100,200,1.0,1.0,43.0
2,2,15,3.9,10,100,200,1.0,1.0,51.0
2,2,15,3.9,2,100,200,0.7376,0.7536,19.0
2,2,15,3.9,4,100,200,0.7498,0.7434,27.0
2,2,15,3.9,6,100,200,1.0,1.0,36.0
2,2,15,3.9,8,100,200,0.7376,0.7536,43.0
2,2,15,3.9,10,100,200,1.0,1.0,51.0
2,2,15,3.9,2,100,200,0.7376,0.7536,19.0
2,2,15,3.9,4,100,200,1.0,1.0,28.0
2,2,15,3.9,6,100,200,1.0,1.0,37.0
2,2,15,3.9,8,100,200,1.0,1.0,44.0
2,2,15,3.9,10,100,200,1.0,1.0,53.0
2,2,15,3.9,12,100,500,1.0,1.0,152.0
2,2,15,3.9,14,100,500,1.0,1.0,170.0
2,2,15,3.9,16,100,500,1.0,1.0,189.0
2,2,15,3.9,18,100,500,1.0,1.0,209.0
2,2,15,3.9,20,100,500,1.0,1.0,228.0
2,2,15,3.9,12,100,500,1.0,1.0,150.0
2,2,15,3.9,14,100,500,0.7498,0.7434,169.0
2,2,15,3.9,16,100,500,1.0,1.0,189.0
2,2,15,3.9,18,100,500,1.0,1.0,206.0
2,2,15,3.9,20,100,500,1.0,1.0,226.0
2,2,15,3.9,12,100,500,1.0,1.0,151.0
2,2,15,3.9,14,100,500,1.0,1.0,174.0
2,2,15,3.9,16,100,500,1.0,1.0,192.0
2,2,15,3.9,18,100,500,1.0,1.0,212.0
2,2,15,3.9,20,100,500,1.0,1.0,231.0
2,2,15,3.9,12,100,500,1.0,1.0,155.0
2,2,15,3.9,14,100,500,1.0,1.0,178.0
2,2,15,3.9,16,100,500,1.0,1.0,196.0
2,2,15,3.9,18,100,500,1.0,1.0,214.0
2,2,15,3.9,20,100,500,1.0,1.0,232.0
